[2026-04-10 08:41:45,739] flops: 10.579868042, params: 26.764399, Total params: : 26.7644
[2026-04-10 09:58:31,152] Epoch: 90, Dataset: test, Dice: 0.9462, IoU: 0.9013
[2026-04-10 09:58:32,162] Epoch: 90, Dataset: val, Dice: 0.9342, IoU: 0.8841
[2026-04-10 09:59:28,884] Epoch: 91, Dataset: test, Dice: 0.9433, IoU: 0.8973
[2026-04-10 09:59:29,787] Epoch: 91, Dataset: val, Dice: 0.9329, IoU: 0.8815
[2026-04-10 10:00:25,809] Epoch: 92, Dataset: test, Dice: 0.9512, IoU: 0.9084
[2026-04-10 10:00:26,755] Epoch: 92, Dataset: val, Dice: 0.9257, IoU: 0.8722
[2026-04-10 10:01:22,796] Epoch: 93, Dataset: test, Dice: 0.9467, IoU: 0.9049
[2026-04-10 10:01:23,714] Epoch: 93, Dataset: val, Dice: 0.9383, IoU: 0.8886
[2026-04-10 10:01:23,714] ### Best Model Saved (Dice improved from 0.9378 to 0.9383) ###
[2026-04-10 10:02:19,699] Epoch: 94, Dataset: test, Dice: 0.9487, IoU: 0.9043
[2026-04-10 10:02:20,721] Epoch: 94, Dataset: val, Dice: 0.9331, IoU: 0.8800
[2026-04-10 10:03:17,032] Epoch: 95, Dataset: test, Dice: 0.9510, IoU: 0.9092
[2026-04-10 10:03:18,009] Epoch: 95, Dataset: val, Dice: 0.9301, IoU: 0.8769
[2026-04-10 10:04:14,397] Epoch: 96, Dataset: test, Dice: 0.9476, IoU: 0.9034
[2026-04-10 10:04:15,308] Epoch: 96, Dataset: val, Dice: 0.9354, IoU: 0.8807
[2026-04-10 10:05:11,281] Epoch: 97, Dataset: test, Dice: 0.9462, IoU: 0.9008
[2026-04-10 10:05:12,266] Epoch: 97, Dataset: val, Dice: 0.9167, IoU: 0.8621
[2026-04-10 10:06:08,702] Epoch: 98, Dataset: test, Dice: 0.9516, IoU: 0.9095
[2026-04-10 10:06:09,651] Epoch: 98, Dataset: val, Dice: 0.9365, IoU: 0.8854
[2026-04-10 10:07:06,354] Epoch: 99, Dataset: test, Dice: 0.9516, IoU: 0.9100
[2026-04-10 10:07:07,273] Epoch: 99, Dataset: val, Dice: 0.9301, IoU: 0.8773
[2026-04-10 10:08:04,123] Epoch: 100, Dataset: test, Dice: 0.9527, IoU: 0.9111
[2026-04-10 10:08:05,084] Epoch: 100, Dataset: val, Dice: 0.9331, IoU: 0.8805
[2026-04-10 10:09:01,383] Epoch: 101, Dataset: test, Dice: 0.9511, IoU: 0.9097
[2026-04-10 10:09:02,397] Epoch: 101, Dataset: val, Dice: 0.9357, IoU: 0.8840
[2026-04-10 10:09:58,418] Epoch: 102, Dataset: test, Dice: 0.9514, IoU: 0.9090
[2026-04-10 10:09:59,413] Epoch: 102, Dataset: val, Dice: 0.9242, IoU: 0.8718
[2026-04-10 10:10:56,118] Epoch: 103, Dataset: test, Dice: 0.9473, IoU: 0.9029
[2026-04-10 10:10:57,081] Epoch: 103, Dataset: val, Dice: 0.9368, IoU: 0.8862
[2026-04-10 10:11:54,069] Epoch: 104, Dataset: test, Dice: 0.9512, IoU: 0.9090
[2026-04-10 10:11:54,987] Epoch: 104, Dataset: val, Dice: 0.9351, IoU: 0.8835
[2026-04-10 10:12:51,235] Epoch: 105, Dataset: test, Dice: 0.9511, IoU: 0.9086
[2026-04-10 10:12:52,185] Epoch: 105, Dataset: val, Dice: 0.9296, IoU: 0.8783
[2026-04-10 10:13:48,494] Epoch: 106, Dataset: test, Dice: 0.9495, IoU: 0.9066
[2026-04-10 10:13:49,396] Epoch: 106, Dataset: val, Dice: 0.9324, IoU: 0.8845
[2026-04-10 10:14:45,629] Epoch: 107, Dataset: test, Dice: 0.9453, IoU: 0.8999
[2026-04-10 10:14:46,579] Epoch: 107, Dataset: val, Dice: 0.9328, IoU: 0.8834
[2026-04-10 10:15:43,242] Epoch: 108, Dataset: test, Dice: 0.9475, IoU: 0.9030
[2026-04-10 10:15:44,159] Epoch: 108, Dataset: val, Dice: 0.9392, IoU: 0.8905
